"year","pixel_id","forest_cover","pr_ann","elevation","x","y"
1,129,0.887000024318695,1031,2188,850,1050
3,129,0.815999984741211,1153,2188,850,1050
2,130,0.916999995708466,770,1864,950,1050
1,151,0.866999983787537,1196,1297,50,950
5,151,0.824999988079071,1149,1297,50,950
6,151,0.86599999666214,479,1297,50,950
11,151,0.866999983787537,824,1297,50,950
8,154,0.904999971389771,1144,2218,350,950
10,154,0.889999985694885,1199,2218,350,950
1,154,0.916000008583069,1181,2218,350,950
10,155,0.862999975681305,1182,2415,450,950
7,156,0.887000024318695,910,2503,550,950
7,157,0.894999980926514,899,2468,650,950
3,158,0.83899998664856,1212,2317,750,950
8,158,0.883000016212463,1105,2317,750,950
10,182,0.876999974250793,1186,1402,150,850
1,183,0.894999980926514,1182,1674,250,850
13,183,0.892000019550323,974,1674,250,850
7,184,0.848999977111816,900,1910,350,850
5,184,0.90200001001358,1146,1910,350,850
7,185,0.888999998569489,909,2078,450,850
10,185,0.830999970436096,1175,2078,450,850
5,186,0.929000020027161,1134,2152,550,850
8,186,0.89300000667572,1137,2152,550,850
13,187,0.771000027656555,973,2123,650,850
8,188,0.915000021457672,1119,1995,750,850
7,188,0.839999973773956,920,1995,750,850
7,189,0.860000014305115,853,1787,850,850
13,216,0.843999981880188,979,1689,550,750
5,216,0.820999979972839,1157,1689,550,750
2,217,0.855000019073486,1024,1667,650,750
4,231,0.866999983787537,977,1348,2050,750
3,232,0.848999977111816,985,1278,2150,750
11,246,0.908999979496002,763,1218,550,650
15,247,0.772000014781952,1137,1203,650,650
7,247,0.815999984741211,932,1203,650,650
2,261,0.860000014305115,962,2073,2050,650
7,263,0.867999970912933,479,1719,2250,650
9,264,0.800000011920929,448,1410,2350,650
4,287,0.899999976158142,1086,1672,1650,550
3,288,0.922999978065491,1208,2092,1750,550
5,289,0.836000025272369,1155,2454,1850,550
10,289,0.78600001335144,1155,2454,1850,550
11,290,0.804000020027161,802,2682,1950,550
12,291,0.772000014781952,1140,2724,2050,550
7,291,0.842000007629395,934,2724,2050,550
8,292,0.931999981403351,935,2569,2150,550
4,293,0.845000028610229,667,2250,2250,550
10,294,0.898000001907349,525,1835,2350,550
11,316,0.813000023365021,774,1368,1550,450
7,317,0.839999973773956,917,1828,1650,450
15,317,0.853999972343445,1142,1828,1650,450
6,318,0.888999998569489,492,2303,1750,450
11,318,0.796000003814697,776,2303,1750,450
15,318,0.776000022888184,1123,2303,1750,450
8,319,0.917999982833862,1135,2710,1850,450
6,319,0.897000014781952,484,2710,1850,450
7,321,0.823000013828278,918,3016,2050,450
1,322,0.912999987602234,1022,2843,2150,450
2,322,0.930999994277954,866,2843,2150,450
8,323,0.885999977588654,698,2489,2250,450
10,323,0.847000002861023,717,2489,2250,450
12,323,0.805000007152557,666,2489,2250,450
13,324,0.873000025749207,418,2026,2350,450
8,324,0.867999970912933,472,2026,2350,450
1,324,0.83899998664856,561,2026,2350,450
15,346,0.901000022888184,1126,1265,1550,350
8,347,0.91100001335144,1138,1695,1650,350
13,347,0.889999985694885,967,1695,1650,350
10,348,0.860000014305115,1182,2137,1750,350
11,348,0.794000029563904,768,2137,1750,350
1,349,0.90200001001358,1182,2516,1850,350
11,350,0.859000027179718,795,2755,1950,350
9,350,0.912999987602234,971,2755,1950,350
4,350,0.862999975681305,1074,2755,1950,350
1,353,0.892000019550323,806,2313,2250,350
4,353,0.828000009059906,697,2313,2250,350
12,354,0.834999978542328,555,1885,2350,350
8,354,0.850000023841858,520,1885,2350,350
9,377,0.836000025272369,973,1334,1650,250
7,377,0.866999983787537,910,1334,1650,250
15,378,0.878000020980835,1111,1676,1750,250
14,378,0.833000004291534,749,1676,1750,250
8,380,0.896000027656555,1107,2151,1950,250
9,380,0.822000026702881,990,2151,1950,250
1,381,0.845000028610229,1148,2186,2050,250
13,381,0.861000001430511,943,2186,2050,250
5,381,0.907999992370605,1140,2186,2050,250
1,382,0.898999989032745,1004,2064,2150,250
9,382,0.833999991416931,893,2064,2150,250
14,382,0.920000016689301,611,2064,2150,250
10,382,0.88400000333786,1006,2064,2150,250
10,383,0.91100001335144,817,1812,2250,250
3,384,0.919000029563904,665,1483,2350,250
9,410,0.862999975681305,992,1427,1950,150
12,411,0.834999978542328,1020,1450,2050,150
10,412,0.842999994754791,936,1372,2150,150
15,412,0.888000011444092,890,1372,2150,150
